"homeTeamName","awayTeamName","league_name","goalsHomeTeam","goalsAwayTeam","home_prob","draw_prob","away_prob"
"EC Flamengo","Atlético Mineiro","Campeonato Brasileiro da Série A",1,1,0.485308238909161,0.270213174572691,0.244478586518149
"Corinthians","Chapecoense","Campeonato Brasileiro da Série A",1,1,0.688262702462836,0.20745506989128,0.104282227645884
"Fluminense FC","Santos FC","Campeonato Brasileiro da Série A",3,2,0.495541834233976,0.273571543742344,0.23088662202368
"Cruzeiro","Sao Paulo","Campeonato Brasileiro da Série A",1,0,0.483381154134935,0.283023168507991,0.233595677357074
"Bahia","Atlético PR","Campeonato Brasileiro da Série A",6,2,0.529638233320984,0.278489251133963,0.191872515545053
"Ponte Preta","Sport Recife","Campeonato Brasileiro da Série A",4,0,0.572428312602089,0.256722853316727,0.170848834081184
"Palmeiras","Vasco da Gama","Campeonato Brasileiro da Série A",4,0,0.677357074380689,0.209839195985491,0.112803729633819
"Grémio","Botafogo","Campeonato Brasileiro da Série A",2,0,0.53858984571406,0.275061343396852,0.186348810889089
"Coritiba FC","Atlético Goianiense","Campeonato Brasileiro da Série A",4,1,0.601283005329913,0.25057858881845,0.148138405851637
"Santos FC","Coritiba FC","Campeonato Brasileiro da Série A",1,0,0.609770110597894,0.235483553949547,0.154746335452559
"Chapecoense","Palmeiras","Campeonato Brasileiro da Série A",1,0,0.320710473623705,0.28930559044987,0.389983935926425
"Atlético Goianiense","EC Flamengo","Campeonato Brasileiro da Série A",0,3,0.245821703140324,0.280434529157208,0.473743767702468
"EC Vitória","Corinthians","Campeonato Brasileiro da Série A",0,1,0.301261799814608,0.300334840430563,0.398403359754829
"Atlético Mineiro","Fluminense FC","Campeonato Brasileiro da Série A",1,2,0.598766000785542,0.232780045636444,0.168453953578014
"Sport Recife","Cruzeiro","Campeonato Brasileiro da Série A",1,1,0.319709542774723,0.296387266098148,0.383903191127129
"Sao Paulo","Avaí SC","Campeonato Brasileiro da Série A",2,0,0.700479481475532,0.205300487862798,0.0942200306616705
"EC Vitória","Coritiba FC","Campeonato Brasileiro da Série A",0,1,0.457555816935287,0.28664526178593,0.255798921278783
"Atlético Mineiro","Ponte Preta","Campeonato Brasileiro da Série A",2,2,0.677513153634187,0.203479758993529,0.119007087372284
"Atlético Goianiense","Corinthians","Campeonato Brasileiro da Série A",0,1,0.175739494304561,0.262191987470514,0.562068518224925
"Atlético PR","EC Flamengo","Campeonato Brasileiro da Série A",1,1,0.33553244066433,0.293213033733694,0.371254525601977
"Santos FC","Cruzeiro","Campeonato Brasileiro da Série A",0,1,0.470974025301242,0.280955686562989,0.248070288135769
"Botafogo","Bahia","Campeonato Brasileiro da Série A",1,0,0.545626828705284,0.266462910623681,0.187910260671035
"Coritiba FC","Atlético PR","Campeonato Brasileiro da Série A",1,0,0.533777637906251,0.27618022142505,0.190042140668699
"Corinthians","Santos FC","Campeonato Brasileiro da Série A",2,0,0.49921915488894,0.282201029697805,0.218579815413255
"EC Flamengo","Botafogo","Campeonato Brasileiro da Série A",0,0,0.592895467777848,0.24693890450527,0.160165627716883
"Ponte Preta","Sao Paulo","Campeonato Brasileiro da Série A",1,0,0.370810973237228,0.301929677899044,0.327259348863728
"Palmeiras","Atlético Mineiro","Campeonato Brasileiro da Série A",0,0,0.537946132702467,0.258016061411473,0.20403780588606
"Grémio","Vasco da Gama","Campeonato Brasileiro da Série A",2,0,0.659248354835981,0.224580228038187,0.116171417125832
"Cruzeiro","Chapecoense","Campeonato Brasileiro da Série A",0,2,0.630563106147221,0.241968513525151,0.127468380327628
"Coritiba FC","Palmeiras","Campeonato Brasileiro da Série A",1,0,0.350978606489056,0.299300774858766,0.349720618652178
"Santos FC","Botafogo","Campeonato Brasileiro da Série A",1,0,0.585445820357116,0.260893859339178,0.153660320303705
"Vasco da Gama","Corinthians","Campeonato Brasileiro da Série A",2,5,0.351999258818897,0.297267666746447,0.350733074434656
"Sport Recife","EC Flamengo","Campeonato Brasileiro da Série A",2,0,0.337247779847013,0.29356809751743,0.369184122635556
"Chapecoense","Grémio","Campeonato Brasileiro da Série A",3,6,0.368569151946047,0.309084890081337,0.322345957972616
"Atlético Goianiense","Ponte Preta","Campeonato Brasileiro da Série A",3,0,0.317681548379226,0.293759745037417,0.388558706583357
"Sao Paulo","EC Vitória","Campeonato Brasileiro da Série A",2,0,0.645735521860968,0.228918408631368,0.125346069507664
"Bahia","Cruzeiro","Campeonato Brasileiro da Série A",1,0,0.396165448405656,0.299569552035141,0.304264999559203
"Palmeiras","Fluminense FC","Campeonato Brasileiro da Série A",3,1,0.599197247978922,0.251559500788661,0.149243251232417
"Vasco da Gama","Sport Recife","Campeonato Brasileiro da Série A",2,1,0.540381349433997,0.262412032330071,0.197206618235932
"Botafogo","Coritiba FC","Campeonato Brasileiro da Série A",2,2,0.480376007702656,0.292841830521439,0.226782161775905
"Avaí SC","EC Flamengo","Campeonato Brasileiro da Série A",1,1,0.204445337182554,0.273933780438422,0.521620882379024
"Corinthians","Sao Paulo","Campeonato Brasileiro da Série A",3,2,0.49483838092342,0.286001171105698,0.219160447970883
"Ponte Preta","Chapecoense","Campeonato Brasileiro da Série A",3,2,0.533916833827296,0.277826329203062,0.188256836969642
"EC Vitória","Atlético Mineiro","Campeonato Brasileiro da Série A",2,0,0.318851351351351,0.277972972972973,0.403175675675676
"Cruzeiro","Atlético Goianiense","Campeonato Brasileiro da Série A",2,0,0.704281183932347,0.198202959830867,0.0975158562367865
"Atlético PR","Santos FC","Campeonato Brasileiro da Série A",0,2,0.42609473269717,0.297486871303817,0.276418395999014
"Grémio","Bahia","Campeonato Brasileiro da Série A",1,0,0.672292689515955,0.21228207095674,0.115425239527305
"Atlético Mineiro","Atlético PR","Campeonato Brasileiro da Série A",0,1,0.632835899322159,0.2246334927224,0.142530607955441
